word sentid sentpos wlen surp entropy entred
if 7 26 2 8.315927505493164 8.98496150970459 0.5740270614624023
he 7 27 2 6.5720672607421875 10.292644500732422 0
was 7 28 3 2.6070823669433594 8.019521713256836 2.273122787475586
going 7 29 5 10.054244995117188 10.027369499206543 0
to 7 30 2 2.6665921211242676 6.841401100158691 3.1859683990478516
make 7 31 4 7.254495143890381 9.793325424194336 0
the 7 32 3 3.0997347831726074 9.440202713012695 0.3531227111816406
Army 7 33 4 11.196847915649414 11.773639678955078 0
his 7 34 3 15.7367525100708 8.861483573913574 2.912156105041504
<unk> 7 35 5 5.075165271759033 11.923873901367188 0
he 7 36 2 9.737555503845215 7.272826194763184 4.651047706604004
wanted 7 37 6 8.40849781036377 7.750114917755127 0
to 7 38 2 2.6196701526641846 7.524285316467285 0.2258296012878418
be 7 39 2 4.454156875610352 9.709867477416992 0
in 7 40 2 5.9754319190979 9.88978385925293 0
the 7 41 3 2.1976964473724365 9.268692970275879 0.6210908889770508
fighting 7 42 8 11.162507057189941 11.645408630371094 0
part 7 43 4 14.350682258605957 5.250206470489502 6.395202159881592
of 7 44 2 0.32346975803375244 1.5182373523712158 3.731969118118286
<unk> 7 45 5 5.26946496963501 8.650272369384766 0
Though 8 0 6 12.520389556884766 11.105680465698242 0
he 8 1 2 8.174403190612793 10.0993013381958 1.0063791275024414
knew 8 2 4 10.078786849975586 8.031523704528809 2.067777633666992
no 8 3 2 10.070144653320312 9.604280471801758 0
more 8 4 4 9.355283737182617 12.19385051727295 0
about 8 5 5 10.660514831542969 11.627584457397461 0.5662660598754883
military 8 6 8 11.530766487121582 10.64002799987793 0.9875564575195312
science 8 7 7 14.033507347106934 9.586251258850098 1.053776741027832
and 8 8 3 5.1569952964782715 9.97653579711914 0
tactics 8 9 7 15.53029727935791 10.802091598510742 0
than 8 10 4 9.601468086242676 8.376396179199219 2.4256954193115234
any 8 11 3 10.711379051208496 9.594139099121094 0
other 8 12 5 9.78366470336914 9.311983108520508 0.28215599060058594
desk 8 13 4 17.992382049560547 9.445053100585938 0
<unk> 8 14 5 5.950218677520752 8.03397274017334 1.4110803604125977
he 8 15 2 9.4291353225708 7.771207809448242 0.26276493072509766
managed 8 16 7 10.405562400817871 7.974669933319092 0
to 8 17 2 3.132185459136963 8.360190391540527 0
get 8 18 3 8.330222129821777 9.698437690734863 0
transferred 8 19 11 14.39421558380127 9.672249794006348 0.026187896728515625
to 8 20 2 2.901090383529663 7.992822647094727 1.679427146911621
the 8 21 3 2.5561888217926025 9.59179401397705 0
combat 8 22 6 14.486898422241211 11.79591178894043 0
<unk> 8 23 5 6.375067710876465 8.306782722473145 3.489129066467285
The 9 0 3 5.230093955993652 11.105680465698242 0
next 9 1 4 8.102509498596191 11.67659854888916 0
thing 9 2 5 11.843646049499512 10.835219383239746 0.8413791656494141
he 9 3 2 8.247428894042969 10.082222938537598 0.7529964447021484
knew 9 4 4 10.169514656066895 7.855291843414307 2.226931095123291
he 9 5 2 7.825575351715088 9.561684608459473 0
was 9 6 3 2.734422206878662 8.196789741516113 1.3648948669433594
reporting 9 7 9 18.207090377807617 10.036995887756348 0
for 9 8 3 5.95498514175415 8.980162620544434 1.056833267211914
duty 9 9 4 14.567543983459473 9.024114608764648 0
as 9 10 2 7.74700403213501 10.059255599975586 0
commanding 9 11 10 19.6873722076416 8.621720314025879 1.437535285949707
officer 9 12 7 13.660102844238281 9.722126007080078 0
of 9 13 2 4.2269721031188965 7.755179405212402 1.9669466018676758
<unk> 9 14 5 5.132665157318115 9.085053443908691 0
<unk> 9 15 5 5.535163879394531 7.574371814727783 1.5106816291809082
7th 9 16 3 17.630474090576172 7.219356536865234 0.35501527786254883
<unk> 9 17 5 5.261149883270264 8.87645149230957 0
in 9 18 2 4.687298774719238 7.467360973358154 1.409090518951416
the 9 19 3 1.9420102834701538 8.908411979675293 0
middle 9 20 6 10.282158851623535 11.641599655151367 0
of 9 21 2 2.810465097427368 7.534636974334717 4.10696268081665
corps 9 22 5 16.2474308013916 9.108573913574219 0
maneuvers 9 23 9 16.992891311645508 7.857032775878906 1.2515411376953125
in 9 24 2 4.973665714263916 6.2231550216674805 1.6338777542114258
<unk> 9 25 5 5.142125606536865 8.899740219116211 0
Outside 10 0 7 13.992871284484863 11.105679512023926 0
of 10 1 2 4.30994987487793 8.40493106842041 2.7007484436035156
<unk> 10 2 5 5.183282852172852 8.820901870727539 0
he 10 3 2 8.923317909240723 8.041755676269531 0.7791461944580078
<unk> 10 4 5 6.510865688323975 8.263313293457031 0
have 10 5 4 8.62661361694336 8.78320598602295 0
landed 10 6 6 11.349608421325684 9.369779586791992 0
in 10 7 2 4.403504848480225 8.896989822387695 0.4727897644042969
a 10 8 1 4.05967378616333 9.327582359313965 0
<unk> 10 9 5 4.757656574249268 11.702743530273438 0
<unk> 10 10 5 5.874423980712891 9.660538673400879 2.0422048568725586
First 11 0 5 11.53470516204834 11.105680465698242 0
of 11 1 2 5.672119617462158 11.930951118469238 0
<unk> 11 2 5 5.068076133728027 9.31933307647705 2.6116180419921875
no 11 3 2 11.996454238891602 8.912922859191895 0.40641021728515625
unit 11 4 4 13.545866966247559 12.068222999572754 0
likes 11 5 5 18.152494430541992 8.610391616821289 3.457831382751465
to 11 6 2 5.222321510314941 8.41883659362793 0.19155502319335938
have 11 7 4 6.243680000305176 9.634810447692871 0
a 11 8 1 4.454082012176514 9.322376251220703 0.31243419647216797
new 11 9 3 6.625946521759033 11.842450141906738 0
CO 11 10 2 18.693645477294922 11.898957252502441 0
brought 11 11 7 12.720587730407715 8.365221977233887 3.5337352752685547
in 11 12 2 4.909338474273682 9.714385032653809 0
from 11 13 4 12.6499662399292 8.96380615234375 0.7505788803100586
the 11 14 3 2.0212411880493164 9.156052589416504 0
<unk> 11 15 5 4.924552917480469 11.688078880310059 0
especially 11 16 10 17.961816787719727 7.822193145751953 3.8658857345581055
when 11 17 4 9.242352485656738 8.58414363861084 0
<unk> 11 18 5 5.319173812866211 9.938616752624512 0
an 11 19 2 10.92863655090332 8.45395278930664 1.484663963317871
armchair 11 20 8 18.03750991821289 12.123841285705566 0
<unk> 11 21 5 6.01547384262085 8.057355880737305 4.066485404968262
<unk> 12 0 5 3.887239933013916 11.105680465698242 0
if 12 1 2 11.182147979736328 8.904792785644531 2.200887680053711
there 12 2 5 9.1983642578125 10.045276641845703 0
is 12 3 2 5.647602558135986 9.62481689453125 0.4204597473144531
ever 12 4 4 11.18958854675293 9.722597122192383 0
a 12 5 1 4.791224479675293 9.082502365112305 0.6400947570800781
perfect 12 6 7 11.251852989196777 11.872252464294434 0
time 12 7 4 7.467648506164551 11.32707405090332 0.5451784133911133
to 12 8 2 4.533882141113281 8.566494941711426 2.7605791091918945
pull 12 9 4 12.519622802734375 9.520538330078125 0
the 12 10 3 3.316007137298584 9.665593147277832 0
<unk> 12 11 5 4.9148783683776855 11.713969230651855 0
out 12 12 3 10.684296607971191 8.131189346313477 3.582779884338379
from 12 13 4 6.5684661865234375 6.709356784820557 1.42183256149292
under 12 14 5 13.582823753356934 8.766611099243164 0
<unk> 12 15 5 5.078229904174805 9.24483585357666 0
<unk> 12 16 5 5.812500476837158 7.24209451675415 2.0027413368225098
on 12 17 2 6.51496696472168 6.977663516998291 0.2644309997558594
<unk> 12 18 5 5.160580635070801 8.696290016174316 0
In 13 0 2 6.475118637084961 11.105679512023926 0
<unk> 13 1 5 5.0996174812316895 9.14240550994873 1.9632740020751953
helping 13 2 7 17.253549575805664 7.625983238220215 1.5164222717285156
your 13 3 4 14.063013076782227 9.229923248291016 0
CO 13 4 2 17.976306915283203 9.386244773864746 0
make 13 5 4 12.85705852508545 8.122869491577148 1.2633752822875977
a 13 6 1 5.12387752532959 9.480914115905762 0
fool 13 7 4 15.160551071166992 11.609455108642578 0
of 13 8 2 3.3589870929718018 9.676332473754883 1.9331226348876953
himself 13 9 7 12.501239776611328 9.137995719909668 0.5383367538452148
might 13 10 5 12.9926176071167 9.878808975219727 0
mean 13 11 4 14.104646682739258 9.872264862060547 0.0065441131591796875
getting 13 12 7 14.83322525024414 9.294364929199219 0.5778999328613281
yourself 13 13 8 17.290924072265625 9.682565689086914 0
<unk> 13 14 5 5.8968353271484375 8.186288833618164 1.49627685546875
But 14 0 3 11.202899932861328 11.105679512023926 0
in 14 1 2 5.114177703857422 9.766683578491211 1.3389959335327148
<unk> 14 2 5 5.287374019622803 9.392200469970703 0.3744831085205078
with 14 3 4 7.080780506134033 7.988955974578857 1.4032444953918457
the 14 4 3 2.09053111076355 9.19624137878418 0
top 14 5 3 8.539995193481445 11.656238555908203 0
brass 14 6 5 17.6734561920166 10.379683494567871 1.276555061340332
watching 14 7 8 16.094987869262695 7.92550802230835 2.4541754722595215
him 14 8 3 9.226632118225098 9.668132781982422 0
all 14 9 3 10.401052474975586 8.891955375671387 0.7761774063110352
the 14 10 3 4.149171352386475 9.535154342651367 0
<unk> 14 11 5 5.019770622253418 11.703469276428223 0
<unk> 14 12 5 6.105125427246094 8.431007385253906 3.2724618911743164
<unk> 14 13 5 5.8453240394592285 7.9540863037109375 0.47692108154296875
Chandler 15 0 8 16.47734832763672 11.105680465698242 0
understood 15 1 10 16.59383201599121 9.210978507995605 1.8947019577026367
this 15 2 4 9.134623527526855 9.8159761428833 0
and 15 3 3 5.98699951171875 11.319706916809082 0
expected 15 4 8 14.468083381652832 10.870039939880371 0.44966697692871094
the 15 5 3 3.7211053371429443 10.040860176086426 0.8291797637939453
<unk> 15 6 5 5.078331470489502 11.763411521911621 0
But 16 0 3 11.202899932861328 11.105679512023926 0
his 16 1 3 6.849947929382324 9.766683578491211 1.3389959335327148
first 16 2 5 5.308083534240723 12.055301666259766 0
few 16 3 3 9.862707138061523 11.577031135559082 0.4782705307006836
days 16 4 4 10.749728202819824 10.312936782836914 1.264094352722168
with 16 5 4 6.5099616050720215 8.864953994750977 1.4479827880859375
<unk> 16 6 5 5.223062038421631 9.061299324035645 0
H 16 7 1 16.892349243164062 8.25459098815918 0.8067083358764648
were 16 8 4 7.5060133934021 8.281265258789062 0
full 16 9 4 10.727437973022461 10.424324989318848 0
of 16 10 2 5.218591213226318 8.727579116821289 1.6967458724975586
<unk> 16 11 5 5.321297645568848 9.174737930297852 0
beginning 16 12 9 14.723234176635742 7.2810959815979 1.8936419486999512
with 16 13 4 5.960478782653809 5.996358871459961 1.2847371101379395
First 16 14 5 14.262921333312988 9.038667678833008 0
Sergeant 16 15 8 16.654762268066406 11.360208511352539 0
Robert 16 16 6 13.1719970703125 9.530743598937988 1.8294649124145508
<unk> 16 17 5 5.91917085647583 9.229601860046387 0.30114173889160156
Chandler 17 0 8 16.47734832763672 11.105679512023926 0
had 17 1 3 7.8655242919921875 9.210978507995605 1.8947010040283203
expected 17 2 8 10.763361930847168 9.445114135742188 0
a 17 3 1 4.671359539031982 8.33121109008789 1.1139030456542969
tough 17 4 5 13.045889854431152 11.697793960571289 0
old 17 5 3 12.167972564697266 9.574349403381348 2.1234445571899414
<unk> 17 6 5 5.767030715942383 9.61003589630127 0
with 17 7 4 6.576879978179932 8.428115844726562 1.181920051574707
a 17 8 1 4.202731132507324 9.053631782531738 0
gravel 17 9 6 16.024076461791992 11.580626487731934 0
<unk> 17 10 5 5.937592506408691 9.419325828552246 2.1613006591796875
Instead 18 0 7 13.237961769104004 11.105680465698242 0
Sergeant 18 1 8 16.848562240600586 8.917990684509277 2.187689781188965
Early 18 2 5 14.224541664123535 8.604414939880371 0.31357574462890625
was 18 3 3 7.760657787322998 9.278990745544434 0
<unk> 18 4 5 5.6193437576293945 10.064359664916992 0
sharp 18 5 5 18.976173400878906 7.170797348022461 2.8935623168945312
and 18 6 3 4.398715019226074 8.271430969238281 0
<unk> 18 7 5 4.795194625854492 11.015974044799805 0
