,code,mean_rt,word,surprisal
278,17278,306.8547058823529,fighting,15.7001
279,17279,268.96294117647057,part,11.9702
280,17280,239.14176470588234,of,0.774507
282,17282,247.70294117647057,Though,9.43342
283,17283,279.3947058823529,he,5.27946
284,17284,309.79352941176467,knew,10.5236
285,17285,273.94176470588235,no,11.4726
286,17286,240.1770588235294,more,5.03656
287,17287,235.97823529411767,about,9.71759
288,17288,277.5670588235294,military,13.5416
289,17289,269.0523529411765,science,15.306
290,17290,280.48117647058825,and,5.87028
291,17291,289.2758823529412,tactics,14.82
292,17292,282.47352941176473,than,10.374
293,17293,262.97058823529414,any,5.94338
294,17294,272.68823529411765,other,1.25937
295,17295,243.63647058823528,desk,15.5099
297,17297,309.121875,he,11.7415
298,17298,304.28882352941173,managed,12.229
299,17299,266.4182352941176,to,1.24849
300,17300,260.1205882352941,get,7.03624
301,17301,262.3058823529412,transferred,15.4026
302,17302,260.0876470588235,to,1.46525
303,17303,262.7647058823529,the,4.73068
304,17304,258.67999999999995,combat,16.1425
306,17306,242.89823529411768,The,2.68215
307,17307,251.0623529411765,next,9.89292
308,17308,254.51058823529414,thing,10.6228
309,17309,258.7529411764706,he,10.8573
310,17310,260.6223529411765,knew,10.5236
311,17311,301.47117647058826,he,4.84292
312,17312,270.3347058823529,was,4.78926
313,17313,238.3205882352941,reporting,11.9459
314,17314,256.54294117647055,for,7.5836
315,17315,272.21705882352944,duty,14.5139
316,17316,245.05235294117648,as,8.35572
317,17317,285.53058823529415,commanding,17.9862
318,17318,284.84999999999997,officer,2.57989
319,17319,294.3882352941177,of,2.8577
324,17324,302.80176470588236,in,6.01697
325,17325,280.2752941176471,the,3.04098
326,17326,256.69823529411764,middle,9.29775
327,17327,265.49176470588236,of,0.334481
328,17328,231.44058823529411,corps,18.3515
329,17329,384.76529411764704,maneuvers,17.307
330,17330,304.7252941176471,in,6.75646
332,17332,334.13352941176475,Outside,13.1034
333,17333,304.68823529411765,of,6.96483
335,17335,285.55999999999995,he,12.006
337,17337,286.88,have,8.8319
338,17338,294.0323529411765,landed,16.4861
339,17339,259.6205882352941,in,3.42789
340,17340,243.45529411764704,a,4.48337
341,17341,302.1294117647059,tougher,16.2101
343,17343,327.71,First,9.2237
344,17344,283.04352941176467,of,9.84188
346,17346,259.47823529411767,no,14.0792
347,17347,256.80823529411765,unit,11.4382
348,17348,265.2658823529412,likes,15.93
349,17349,246.88647058823528,to,2.66709
350,17350,285.6623529411765,have,7.30558
351,17351,272.7505882352941,a,2.94855
352,17352,238.99,new,6.81924
354,17354,370.92,brought,13.9346
355,17355,376.86199999999997,in,1.42276
356,17356,291.4511764705882,from,11.3455
357,17357,260.01882352941175,the,1.47446
359,17359,351.46,especially,13.6575
360,17360,273.5076470588235,when,6.85787
362,17362,268.2735294117647,an,9.51068
366,17366,269.9958823529412,if,10.7135
367,17367,257.10764705882355,there,5.661
368,17368,242.98470588235293,is,2.27227
369,17369,261.8264705882353,ever,15.5136
370,17370,256.32176470588234,a,7.6486
371,17371,250.52,perfect,13.898
372,17372,264.6276470588235,time,11.394
373,17373,252.22058823529412,to,3.54992
374,17374,251.13941176470587,pull,12.2877
375,17375,253.96470588235292,the,6.11905
377,17377,266.92294117647054,out,9.43024
378,17378,265.55411764705883,from,9.5369
379,17379,243.56705882352944,under,13.6873
382,17382,262.55117647058825,on,8.22744
384,17384,295.75470588235294,In,4.57937
386,17386,328.49375,helping,14.5581
387,17387,268.1170588235294,your,12.3062
389,17389,258.761875,make,13.8706
390,17390,311.88529411764705,a,4.18413
391,17391,277.90588235294115,fool,17.2659
392,17392,268.2982352941176,of,6.98915
393,17393,270.1652941176471,himself,13.1971
394,17394,265.848125,might,11.5259
395,17395,246.08705882352945,mean,14.6012
396,17396,289.55823529411765,getting,12.8575
397,17397,264.4117647058824,yourself,16.2159
399,17399,272.3376470588235,But,4.58894
400,17400,271.5247058823529,in,5.18334
402,17402,269.9270588235294,with,7.78906
403,17403,267.87470588235294,the,2.4866
404,17404,256.39941176470586,top,10.1389
405,17405,288.40000000000003,brass,9.48023
406,17406,339.57529411764705,watching,14.0175
407,17407,304.56235294117647,him,6.91759
408,17408,282.99117647058824,all,11.0148
409,17409,244.79117647058823,the,3.09318
413,17413,330.3276470588235,Chandler,15.5374
414,17414,328.0423529411765,understood,15.5401
415,17415,311.2594117647059,this,9.68982
416,17416,268.35764705882355,and,7.8743
417,17417,312.4094117647059,expected,12.8368
418,17418,328.7905882352941,the,5.25598
420,17420,288.61,But,4.58894
421,17421,241.35411764705884,his,7.98708
422,17422,245.91176470588235,first,6.49406
423,17423,248.60411764705884,few,10.875
424,17424,244.06176470588235,days,5.636
425,17425,256.46294117647057,with,7.28043
427,17427,252.07705882352943,H,17.2583
428,17428,275.76529411764704,were,9.20647
429,17429,293.6276470588235,full,12.6595
430,17430,307.99764705882353,of,3.8708
432,17432,339.74470588235295,beginning,15.7846
433,17433,323.15588235294115,with,5.90182
434,17434,251.35,First,10.532
436,17436,325.19588235294117,Robert,12.9535
438,17438,280.46294117647057,Chandler,15.5374
439,17439,263.0211764705882,had,9.47528
440,17440,270.84529411764703,expected,7.09691
441,17441,259.36823529411765,a,2.75457
442,17442,289.0105882352941,tough,10.3892
443,17443,272.935,old,13.4779
445,17445,254.69882352941178,with,7.28026
446,17446,255.80411764705883,a,3.7548
449,17449,285.80999999999995,Instead,9.2237
451,17451,267.42823529411766,Early,16.5628
452,17452,299.2394117647059,was,8.41962
454,17454,304.6529411764706,sharp,13.627
455,17455,252.03058823529415,and,6.30236
457,17457,300.74470588235295,He,5.6328
458,17458,264.9123529411765,had,6.39844
459,17459,301.2835294117647,enlisted,18.5995
460,17460,276.5794117647059,in,6.75918
461,17461,254.7370588235294,the,2.68569
462,17462,253.17235294117648,Army,12.742
463,17463,252.23176470588237,straight,14.5315
464,17464,255.9294117647059,out,9.9635
465,17465,238.67470588235292,of,2.11625
466,17466,233.9858823529412,high,11.3513
467,17467,256.4517647058824,school,7.4422
468,17468,235.1058823529412,and,5.68218
469,17469,252.55,had,8.99943
470,17470,273.73,immediately,13.8613
471,17471,267.11117647058825,set,12.0356
472,17472,248.58588235294118,about,9.6216
473,17473,263.9729411764706,learning,15.8819
474,17474,244.9558823529412,his,9.80664
475,17475,244.19823529411764,new,7.62957
477,17477,250.7364705882353,There,7.85717
478,17478,258.58235294117645,was,3.6777
479,17479,241.78764705882355,no,2.55555
480,17480,253.01941176470586,weapon,16.1204
481,17481,241.72411764705885,Early,16.9754
482,17482,258.6,could,9.71677
483,17483,311.8788235294118,not,6.42524
484,17484,300.1835294117647,take,11.2015
485,17485,258.2405882352941,apart,14.7189
486,17486,240.81411764705882,and,6.94918
489,17489,313.81529411764706,He,5.6328
490,17490,242.2005882352941,could,6.94459
491,17491,275.16411764705884,lead,7.09556
492,17492,318.1117647058823,a,6.29827
493,17493,251.98,patrol,18.1851
494,17494,272.51882352941175,and,6.40841
495,17495,303.39882352941174,he,10.4645
496,17496,286.86117647058825,knew,10.5366
497,17497,258.88941176470587,his,9.82712
498,17498,274.05823529411765,paper,12.6396
501,17501,274.08705882352945,he,12.1491
502,17502,276.5711764705882,had,5.1987
503,17503,250.34705882352938,taken,7.21014
504,17504,262.7394117647059,full,13.4988
505,17505,280.31,advantage,14.2192
506,17506,259.08647058823533,of,2.44246
507,17507,272.24882352941177,the,3.25207
509,17509,321.7752941176471,correspondence,16.9732
511,17511,268.5676470588235,He,5.6328
512,17512,249.918125,not,11.4407
513,17513,295.38352941176475,only,4.60175
514,17514,270.54352941176467,knew,14.7107
516,17516,356.19529411764705,but,10.8521
518,17518,356.82588235294116,history,13.9632
519,17519,310.54764705882354,and,4.87654
520,17520,329.80176470588236,literature,15.5535
521,17521,290.6311764705883,as,8.2469
523,17523,303.87117647058824,But,4.58894
524,17524,297.67823529411766,for,7.16579
525,17525,275.6452941176471,all,6.79112
526,17526,254.28176470588235,his,8.75927
530,17530,330.01352941176475,Early,16.9816
531,17531,269.82176470588234,was,8.41962
532,17532,277.31470588235294,right,9.42294
533,17533,282.1464705882353,out,10.661
534,17534,251.36647058823533,of,2.11625
535,17535,265.4864705882353,the,2.05058
538,17538,297.7217647058824,He,5.6328
539,17539,259.7017647058824,was,4.8669
540,17540,281.16705882352943,filled,11.8865
541,17541,270.6223529411765,with,1.64945
542,17542,244.95941176470592,the,3.18092
543,17543,257.8376470588235,spirit,16.8058
544,17544,259.3947058823529,of,5.42282
545,17545,248.25235294117647,the,3.44768
548,17548,259.9435294117647,That,6.63727
549,17549,293.1941176470588,saved,16.8551
550,17550,249.21058823529413,Mel,17.4625
553,17553,268.87,Early,16.9704
554,17554,247.3558823529412,let,13.8478
555,17555,270.89882352941174,the,2.939
556,17556,240.2835294117647,new,8.32634
558,17558,270.2470588235294,know,15.5966
559,17559,259.97823529411767,just,9.21132
560,17560,352.3629411764706,how,6.42431
561,17561,266.25176470588235,lucky,16.1273
562,17562,237.80352941176469,he,5.77074
563,17563,239.70235294117649,was,4.78926
564,17564,234.54647058823528,to,6.14819
565,17565,256.5311764705882,be,2.84433
566,17566,233.62529411764706,in,6.79279
567,17567,233.3541176470588,the,3.06679
568,17568,226.48,best,9.65626
569,17569,271.85705882352937,troop,17.5022
570,17570,237.46235294117648,in,7.26562
571,17571,241.1070588235294,the,2.68569
572,17572,236.86411764705883,best,9.55062
574,17574,256.5170588235294,in,6.069
575,17575,238.17176470588237,the,2.57667
576,17576,251.5241176470588,United,11.159
577,17577,263.45235294117646,States,2.27436
579,17579,249.75375,He,5.6328
580,17580,251.1735294117647,fed,16.7951
581,17581,305.60705882352937,the,7.87292
582,17582,259.2605882352941,captain,17.4907
583,17583,270.2288235294118,bits,17.2955
584,17584,249.82470588235296,of,3.54835
585,17585,257.03705882352943,history,11.9851
586,17586,244.63941176470587,about,10.0601
587,17587,252.95705882352945,the,3.29195
588,17588,256.56882352941176,troops,16.7161
589,17589,263.3129411764706,and,6.66492
590,17590,260.0147058823529,the,4.5622
592,17592,247.58176470588236,For,6.51944
594,17594,259.40470588235297,it,9.60077
595,17595,298.7747058823529,was,5.39932
596,17596,238.94176470588238,a,4.38094
598,17598,333.7423529411765,of,4.48262
599,17599,266.1723529411765,the,3.43402
602,17602,247.39117647058822,under,9.00611
604,17604,261.324705882353,George,13.0086
605,17605,281.56235294117647,Armstrong,16.0564
607,17607,358.60411764705884,that,7.50105
608,17608,285.8241176470588,had,7.34163
609,17609,298.00529411764705,been,2.19471
610,17610,246.48941176470586,wiped,16.2114
611,17611,254.19117647058823,out,0.342921
612,17612,246.65823529411762,at,6.32462
613,17613,228.48117647058822,the,4.23012
614,17614,238.88117647058823,Battle,17.0959
615,17615,243.92411764705884,of,7.15214
616,17616,263.54,The,11.9851
617,17617,269.49176470588236,Little,14.0311
618,17618,262.0894117647059,Big,14.0861
620,17620,298.1582352941176,It,5.65274
622,17622,271.5876470588235,take,13.8842
624,17624,308.5664705882353,Chandler,14.729
625,17625,247.15352941176468,long,12.7339
626,17626,262.1776470588235,to,6.78048
627,17627,256.31529411764706,realize,10.7114
628,17628,264.31529411764706,that,3.09725
629,17629,284.6175,he,5.54394
630,17630,248.92588235294116,had,3.35892
631,17631,239.9858823529412,to,4.8897
632,17632,258.6705882352941,carry,10.1008
633,17633,259.7752941176471,a,3.95653
634,17634,263.0558823529412,heavy,11.3053
635,17635,259.7435294117647,load,14.797
636,17636,255.19411764705885,of,3.78909
637,17637,281.8588235294118,tradition,15.2395
638,17638,251.0676470588235,on,8.55618
639,17639,233.0276470588235,his,7.06285
640,17640,244.35941176470587,shoulders,17.7391
641,17641,262.7988235294118,as,8.20221
642,17642,242.69705882352943,commander,17.9862
643,17643,245.19529411764705,of,7.51522
645,17645,287.9676470588235,A.,13.218
646,17646,333.04470588235296,But,16.2296
647,17647,352.0623529411764,what,9.13448
648,17648,289.1364705882353,made,11.8793
649,17649,255.03764705882355,the,4.21242
650,17650,277.0035294117647,load,16.7256
651,17651,267.71352941176474,lighter,16.0314
652,17652,282.5994117647059,was,8.41043
653,17653,271.8882352941177,the,4.87762
654,17654,266.3623529411765,realization,18.3442
655,17655,257.5735294117647,that,1.84292
656,17656,230.74705882352941,every,11.2843
659,17659,457.5670588235294,and,5.00457
661,17661,318.3770588235294,was,9.29369
662,17662,284.4035294117647,ready,12.1139
663,17663,256.4464705882353,and,7.05085
664,17664,269.2675,willing,13.9179
665,17665,278.8776470588235,to,0.543945
666,17666,260.3205882352941,help,7.77412
667,17667,258.7576470588235,him,5.28182
668,17668,270.1994117647059,carry,15.0024
670,17670,260.6829411764706,for,6.89114
671,17671,257.0811764705882,the,2.91632
672,17672,246.56294117647056,good,11.0522
673,17673,233.5441176470588,of,1.68939
674,17674,234.6794117647059,the,3.44768
675,17675,249.28941176470587,troop,16.8322
676,17676,259.9729411764706,and,6.96396
677,17677,243.33882352941177,the,4.5622
680,18501,360.77523809523814,was,9.13165
681,18502,273.41380952380956,a,4.0697
682,18503,266.82,complex,11.6457
