code,mean_rt,word,n_gram_surprisal,rnn_surprisal
17158,279.2982352941176,of,1.7146971374148676,2.949575662612915
17159,259.275625,men,7.822370777661677,11.43315601348877
17160,270.3235294117647,who,4.09011856653727,9.367790222167969
17161,279.4005882352941,have,4.180402020744747,5.7935099601745605
17162,252.8435294117647,served,6.008527498575775,9.16610336303711
17163,267.59529411764703,in,2.5157312087113324,4.050422191619873
17164,253.78294117647062,the,1.3154413828328713,1.9104437828063965
17165,261.47235294117644,7th,7.898924016339852,11.39376163482666
17167,343.65529411764703,perhaps,10.41268184640677,17.038223266601562
17168,336.9476470588235,no,10.698265803008391,10.669184684753418
17169,263.09529411764703,one,3.924111879017554,8.884696960449219
17170,257.4294117647059,knows,8.380951481389872,16.645532608032227
17171,300.85705882352937,its,10.507229584228376,8.728577613830566
17172,252.79823529411763,spirit,13.09186087001312,14.197588920593262
17173,289.1858823529412,better,10.608538600098898,14.424309730529783
17174,261.22117647058826,than,2.919578540507264,8.752374649047852
17175,332.26176470588234,Lieutenant,12.402785975485903,15.292176246643066
17176,319.59235294117644,Colonel,2.943561766890623,14.665111541748049
17177,407.3470588235294,Melbourne,10.700521663560346,17.654640197753906
17178,402.0025,C.,10.528864328377765,13.820459365844728
17181,315.15647058823527,and,10.41268184640677,4.700864315032959
17183,421.2011764705882,with,10.41268184640677,6.64233922958374
17184,307.0476470588235,steel,8.264168073807696,13.950912475585938
17185,365.6975,blue,10.716171785121514,14.440576553344728
17186,346.834705882353,eyes,5.1021933513673865,14.70620346069336
17187,285.05470588235295,and,3.202168457832436,4.6509222984313965
17188,310.4117647058824,a,3.6834291636666254,4.894435882568359
17189,266.5735294117647,chest,10.63060056488396,15.019718170166016
17191,336.08411764705886,with,10.41268184640677,6.522045612335205
17193,411.14,Chandler,10.41268184640677,16.953968048095703
17194,294.91058823529414,is,10.47387370275808,7.4538421630859375
17195,244.48,the,2.5476439922727514,3.5855467319488525
17197,344.65647058823527,of,10.41268184640677,3.016639709472656
17198,265.62529411764706,the,1.200893820446828,1.8384904861450195
17201,268.8488235294118,The,3.120973059329459,5.230093955993652
17202,276.8194117647059,truth,9.99282991528678,13.861268997192385
17205,310.7005882352941,that,10.41268184640677,6.574375152587891
17206,285.2035294117647,when,6.3589977701695535,9.224953651428224
17208,293.81,Chandler,10.41268184640677,16.44719696044922
17209,331.5241176470588,first,10.47387370275808,11.18196964263916
17210,278.8552941176471,reported,6.926890390674089,12.449031829833984
17211,293.72235294117644,to,2.728468286031182,4.622552871704102
17212,281.915294117647,the,1.874175499462157,2.591214895248413
17213,321.38941176470587,regiment,8.85412787552919,13.002544403076172
17214,271.86117647058825,the,5.285272451409265,8.594464302062988
17215,291.6058823529412,only,6.003892347750652,9.109798431396484
17217,411.5005882352941,he,10.41268184640677,9.018753051757812
17218,320.2841176470588,had,2.681182581659112,4.089928150177002
