,word,wlen,surp,mono_gaze_dur,mono_fix_pup_size,l2_gaze_dur,l2_fix_pup_size
151,and,3,3.9717721939086914,283.0,1869.75,328.4,2426.8
152,it,2,8.202547073364258,197.5555555555556,2365.222222222222,299.57142857142856,2694.0
153,ended,5,10.498939514160156,272.9,2136.8,257.625,2412.3125
154,in,2,4.238786697387695,196.28571428571428,2348.214285714286,222.75,2529.75
155,his,3,6.256551265716553,218.22222222222223,2160.333333333333,240.125,2411.75
156,inviting,8,20.62660789489746,296.09090909090907,2167.885454545454,282.625,2557.0
157,me,2,16.80869483947754,206.125,2045.0,211.8,2384.1
158,down,4,12.74668025970459,246.8,2075.05,282.6666666666667,2518.5
159,to,2,5.6189727783203125,138.33333333333334,2000.11,273.8,2311.8
160,Styles,6,20.24047088623047,189.7692307692308,2082.269230769231,278.0,2613.60375
161,to,2,5.585563659667969,189.0,2083.875,191.66666666666663,3021.0
162,spend,5,11.832843780517578,251.91666666666663,2232.9725,314.44444444444446,2522.4444444444443
163,my,2,13.15513038635254,193.25,2184.0625,158.33333333333334,2702.333333333333
164,leave,5,14.294548988342283,230.0909090909091,2238.409090909091,315.57142857142856,2523.214285714286
165,mater,5,17.650035858154297,255.07692307692307,2169.230769230769,327.6666666666667,2497.907777777777
166,will,4,10.71324634552002,325.0,2163.0,264.42857142857144,2387.535714285714
167,be,2,3.76654863357544,223.5,2287.5,241.0,2377.618571428572
168,delighted,9,19.87002182006836,252.57142857142856,2099.4264285714285,317.1111111111111,2469.555555555556
169,to,2,2.887718439102173,181.375,1735.875,184.0,2771.0
170,see,3,9.53514289855957,235.75,2470.25,346.2857142857143,2337.428571428572
171,you,3,11.369644165039062,221.625,1891.375,192.0,2354.833333333333
172,all,3,11.354583740234377,197.7142857142857,2002.0,272.75,2687.875
173,those,5,11.009714126586914,184.69230769230768,2207.3846153846152,227.625,2395.375
174,he,2,9.113611221313477,189.75,1813.5,248.0,2212.75
175,mother,6,16.71457290649414,229.25,2156.5416666666665,298.7142857142857,2428.6071428571427
176,keeps,5,16.232532501220703,274.8181818181818,1953.0990909090908,312.25,2253.9375
177,I,1,9.403525352478027,161.0,1889.2,234.8,2388.4
178,suppose,7,19.078275680541992,254.53846153846155,2169.9615384615386,312.3333333333333,2316.055555555556
179,you,3,13.376758575439451,240.8333333333333,1960.8333333333333,258.6666666666667,2046.6666666666667
180,know,4,15.106661796569824,201.45454545454547,2188.954545454545,232.25,2153.85375
181,that,4,5.68788480758667,263.3333333333333,2070.4444444444443,237.57142857142856,2136.8571428571427
182,she,3,8.909049034118652,270.2,1965.5,284.5,2044.25
183,has,3,5.47672700881958,202.57142857142856,2326.6428571428573,251.4,2053.0
184,married,7,9.763520240783691,246.7692307692308,2029.7307692307693,249.44444444444449,2194.9444444444443
185,I,1,10.395009994506836,299.0,1728.0,207.0,2390.0
186,am,2,13.615852355957031,186.75,2106.8125,220.25,2379.75
187,afraid,6,17.312543869018555,222.16666666666663,2063.0,262.85714285714283,2355.214285714286
188,I,1,10.89328384399414,192.66666666666663,1985.6666666666667,181.0,2143.0
189,showed,6,13.494006156921388,225.42857142857144,1919.94,286.1428571428572,2145.19
190,my,2,12.387386322021484,239.1,1824.867,173.5,2191.25
191,surprise,8,15.930187225341797,171.2,2025.875,245.25,2247.875
192,rather,6,12.302406311035156,274.27272727272725,2043.5754545454547,337.0,2289.635
193,who,3,8.760211944580078,199.1818181818182,2294.3336363636363,191.3333333333333,2572.9166666666665
194,had,3,4.559834003448486,228.4,2053.516,238.25,2715.0625
195,married,7,9.527194023132324,239.3846153846154,2213.1484615384616,233.0,2630.39875
196,father,6,15.30419921875,272.1818181818182,2224.0,348.0,2819.6671428571426
197,when,4,9.418627738952637,276.375,2163.4375,209.3333333333333,2599.5
198,he,2,7.4644775390625,208.0,2196.333333333333,256.5,2591.333333333333
199,was,3,2.7729380130767822,219.375,1941.35,273.7142857142857,2565.928571428572
200,a,1,4.042004585266113,216.5,2370.5,302.42857142857144,2630.0
201,widower,7,15.284967422485352,209.27272727272728,2101.7727272727275,266.0,2584.428571428572
202,with,4,6.323729038238525,337.125,2012.91625,205.7142857142857,2592.4757142857147
203,two,3,8.079985618591309,241.3333333333333,1896.8333333333333,284.0,2769.75
204,had,3,8.109914779663086,207.0,2165.560909090909,188.8333333333333,2983.1666666666665
205,been,4,4.8926215171813965,214.8181818181818,1974.6209090909088,211.5555555555556,2639.333333333333
206,a,1,3.988542079925537,198.8,2021.3,184.5,2707.75
207,handsome,8,13.662315368652344,236.72727272727272,2405.0454545454545,262.77777777777777,2628.111111111112
208,woman,5,12.947772026062012,225.84615384615384,2179.3076923076924,270.57142857142856,2682.0
209,of,2,2.7546098232269287,208.1428571428572,2018.642857142857,162.0,2520.1428571428573
210,as,2,6.442260265350342,190.8333333333333,2228.375,211.0,2166.0
211,I,1,9.91759967803955,262.3333333333333,2038.0,156.66666666666666,2647.6666666666665
212,remembered,10,17.32041358947754,282.2307692307692,2122.538461538461,348.77777777777777,2600.5922222222225
213,She,3,9.212735176086426,206.625,2021.875,178.25,2632.0
214,certainly,9,18.16521453857422,296.6363636363636,2004.4245454545453,397.375,2580.78125
215,could,5,12.186517715454102,277.0,2088.576923076923,247.44444444444449,2477.277777777778
216,not,3,4.47933292388916,187.25,2171.47125,198.125,2492.5
217,be,2,8.792668342590332,234.125,2149.375,304.1666666666667,2524.3883333333333
218,a,1,3.972509622573853,217.2,2319.4,232.3333333333333,2423.9166666666665
219,day,3,10.267841339111328,243.3,1882.5,187.28571428571428,2561.238571428571
220,less,4,12.758448600769045,256.42857142857144,2401.5,349.625,2394.625
221,than,4,8.67896842956543,197.4,2125.45,228.7142857142857,2345.618571428572
222,seventy,7,15.412679672241213,296.0769230769231,2140.3846153846152,391.22222222222223,2457.093333333333
223,I,1,9.403525352478027,187.66666666666663,2304.6666666666665,146.5,1876.5
224,recalled,8,20.26751136779785,320.46153846153845,2104.3907692307694,435.55555555555554,2426.8366666666666
225,her,3,10.782269477844238,241.0,2032.3,220.75,2617.75
226,as,2,8.0407075881958,187.5,2054.4375,261.5,2356.75
227,an,2,5.902639865875244,218.66666666666663,2081.25,264.0,2375.5
228,autocratic,10,23.261781692504883,467.9285714285714,2054.177857142857,627.0,2399.463333333333
229,somewhat,8,17.059844970703125,308.2307692307692,2091.8076923076924,403.0,2416.3888888888887
230,inclined,8,17.69690704345703,264.4166666666667,1978.9725,393.0,2345.258888888889
231,to,2,5.169027805328369,232.0,1878.9375,168.0,3009.0
232,charitable,10,14.12564754486084,333.84615384615387,1980.4930769230768,530.2222222222222,2288.777777777778
233,and,3,5.197968006134033,159.33333333333334,1889.6666666666667,187.66666666666663,1958.6666666666667
234,social,6,10.665626525878906,323.8333333333333,2007.5,342.625,2408.0
235,with,4,6.441273212432861,257.0,2025.090909090909,247.875,2356.875
236,a,1,4.272687911987305,174.0,2010.142857142857,264.25,2332.625
237,fondness,8,15.129220008850098,194.78571428571428,2002.4164285714287,156.77777777777777,2361.9822222222224
238,for,3,5.709351539611816,249.7,2011.35,189.5,2234.375
239,opening,7,13.83078670501709,196.8571428571429,1946.9642857142856,382.375,2396.89625
240,and,3,3.86376428604126,173.2,2045.0,261.5,1935.75
241,playing,7,13.13790512084961,313.7692307692308,1928.8076923076924,311.1428571428572,2398.2742857142853
242,the,3,3.643699407577514,243.66666666666663,1823.4166666666667,242.5,2282.75
243,Lady,4,14.166329383850098,225.3333333333333,1892.8333333333333,271.6666666666667,2131.25
244,She,3,9.212735176086426,316.875,1862.5625,294.3333333333333,2201.89
245,was,3,3.2854580879211426,274.6666666666667,1831.1666666666667,312.3333333333333,2258.277777777778
