,word,wlen,surp,l1_gaze_dur,l1_fix_pup_size
192,te,2.0,7.498207569122314,171.0,1956.5
193,al,2.0,11.964224815368652,239.3333333333333,1798.3333333333333
194,die,3.0,8.537642478942871,218.7142857142857,2006.7857142857144
195,hij,3.0,15.615182876586914,188.25,1726.0
196,Is,2.0,11.539380073547363,231.0,1901.0
197,het,3.0,8.9002103805542,204.875,1999.75
198,goed,4.0,10.551694869995115,343.125,2005.45875
199,met,3.0,7.428581714630127,285.1666666666667,1974.5
200,je,2.0,11.048593521118164,200.2,2059.8
201,Je,2.0,12.79537868499756,221.5555555555556,1913.111111111111
202,weet,4.0,14.328518867492676,236.22222222222223,1930.8333333333333
203,dat,3.0,8.700727462768555,229.0,1836.611111111111
204,ze,2.0,6.077097415924072,174.0,2094.833333333333
205,Ik,2.0,9.674918174743652,148.0,1943.3333333333333
206,dat,3.0,9.510042190551758,180.0,2301.0
207,ik,2.0,9.406055450439451,173.5,1923.0
208,mijn,4.0,14.235947608947754,226.3333333333333,1897.7033333333336
209,nogal,5.0,14.630167961120604,230.625,1996.9375
210,duidelijk,9.0,18.31614112854004,206.7,1843.567
211,liet,4.0,16.77985382080078,124.0,1901.2777777777776
212,Mevrouw,7.0,17.39253044128418,191.1,1958.15
213,die,3.0,8.440362930297852,257.25,2077.625
214,met,3.0,8.256068229675293,199.875,1952.875
215,Johns,5.0,20.317768096923828,202.42857142857144,2058.785714285714
216,vader,5.0,13.893683433532717,249.0,1926.388888888889
217,trouwde,7.0,15.4747953414917,216.44444444444449,2035.5922222222223
218,toen,4.0,12.525218963623049,271.125,2024.85375
219,deze,4.0,16.928987503051758,244.42857142857144,2063.5714285714284
220,weduwnaar,9.0,19.70820045471192,192.8,1987.56
221,was,3.0,7.402000427246094,148.57142857142858,1987.7142857142856
222,en,2.0,5.0758891105651855,243.5,2173.0
223,twee,4.0,10.749579429626465,229.7,1986.9
224,was,3.0,8.046710968017578,179.33333333333334,1993.5
225,in,2.0,4.446568965911865,203.66666666666663,2151.583333333333
226,mijn,4.0,13.62492561340332,236.3333333333333,1924.8333333333333
227,herinnering,11.0,14.30177879333496,209.0,1987.55
228,een,3.0,8.86844539642334,190.5,1863.75
229,knappe,6.0,19.611696243286133,211.625,2060.83375
230,vrouw,5.0,11.72947597503662,193.1428571428572,2179.0714285714284
231,van,3.0,3.9311306476593018,256.3333333333333,1789.6666666666667
232,middelbare,10.0,19.417768478393555,219.0,1968.017
233,Ze,2.0,11.568333625793455,198.2,2128.5
234,moest,5.0,20.17589569091797,209.0,2394.4
235,nu,2.0,15.891020774841309,176.33333333333334,2050.9166666666665
236,op,2.0,6.489381313323975,133.75,2178.75
237,minst,5.0,21.52145767211914,191.0,2208.25
238,Ik,2.0,9.674918174743652,187.5,1996.5
239,me,2.0,12.884575843811035,219.3333333333333,2145.0
240,haar,4.0,13.29245376586914,213.7142857142857,2416.8571428571427
241,als,3.0,11.50169849395752,211.0,1954.2
242,een,3.0,5.471125602722168,211.66666666666663,2326.75
243,dominerende,11.0,22.89009475708008,304.4,2345.25
244,die,3.0,8.130227088928223,198.6,1989.4
245,zich,4.0,9.46034049987793,250.75,2368.125
246,ook,3.0,7.62565279006958,183.6,2325.4
247,op,2.0,5.957256317138672,264.7142857142857,2224.8571428571427
248,en,2.0,5.310126781463623,325.0,2482.0
249,terrein,7.0,16.307586669921875,238.75,2298.625
250,nogal,5.0,15.35776138305664,273.8888888888889,2271.407777777777
251,liet,4.0,17.20078468322754,187.375,2434.70875
252,graag,5.0,18.346332550048828,226.66666666666663,2157.9444444444443
253,opende,6.0,24.07478904724121,239.66666666666663,2180.6666666666665
254,en,2.0,4.837495803833008,165.75,1843.75
255,voor,4.0,14.434674263000488,219.0,2182.4
256,Ze,2.0,11.568333625793455,209.0,1732.5
257,was,3.0,6.350751876831055,260.6666666666667,2098.8700000000003
258,erg,3.0,16.440019607543945,173.75,2053.625
259,en,2.0,4.446595191955566,180.0,2318.0
260,bezat,5.0,16.12119483947754,212.9,2025.0
261,een,3.0,7.94069242477417,144.75,2154.5
262,aanzienlijk,11.0,19.69736671447754,285.2,2000.35
263,eigen,5.0,10.65947723388672,222.5555555555556,1985.8333333333333
264,Cavendish,9.0,18.823286056518555,250.3,1983.684
265,had,3.0,15.659439086914062,186.2,2015.3
266,in,2.0,4.798892974853516,262.1428571428572,2045.142857142857
267,het,3.0,7.625304222106934,231.625,1910.125
268,begin,5.0,7.873542785644531,204.11111111111111,2023.0
269,van,3.0,1.2245023250579834,124.16666666666669,1837.638333333333
270,hun,3.0,12.612733840942385,227.5,2104.3125
271,trouwen,7.0,15.06516170501709,211.0,2070.333
272,een,3.0,11.052929878234863,247.5,1693.0
273,Hij,3.0,13.071492195129396,210.11111111111111,2155.9444444444443
274,stond,5.0,14.826068878173828,206.0,2157.1400000000003
275,zo,2.0,9.236946105957031,170.14285714285714,1987.928571428572
276,geheel,6.0,15.7355318069458,206.0,2193.325
277,en,2.0,5.925151824951172,271.0,2330.333333333333
278,al,2.0,9.56691837310791,351.7142857142857,1991.047142857143
279,onder,5.0,10.53542423248291,200.125,2275.29125
280,de,2.0,2.773424863815308,234.5,2101.5
281,invloed,7.0,13.57667636871338,216.66666666666663,2063.9166666666665
282,van,3.0,0.9100810885429382,254.66666666666663,2090.6666666666665
283,zijn,4.0,12.470552444458008,250.42857142857144,2074.167142857143
284,dat,3.0,9.030725479125977,241.0,1996.8333333333333
285,hij,3.0,9.714134216308594,252.3333333333333,2033.6666666666667
286,haar,4.0,13.848068237304688,284.7142857142857,2119.0714285714284
287,bij,3.0,10.330323219299316,227.25,2087.1875
288,zijn,4.0,13.04257583618164,202.0,2110.25
289,dood,4.0,11.146240234375,187.77777777777777,2311.407777777777
290,het,3.0,9.316213607788086,167.125,2234.08375
291,huis,4.0,17.928926467895508,186.25,2236.4375
292,voor,4.0,10.723552703857422,273.85714285714283,2136.5
293,de,2.0,2.3316071033477783,228.57142857142856,2337.8571428571427
294,duur,4.0,16.93865203857422,217.375,2177.89625
295,van,3.0,6.839104652404785,205.6,2366.766
296,haar,4.0,14.04944896697998,248.375,2293.3325
297,evenals,7.0,22.60314178466797,340.0,2248.833333333333
298,het,3.0,9.272597312927246,170.33333333333334,2025.0
299,grootste,8.0,11.036835670471191,214.77777777777777,2221.4444444444443
300,deel,4.0,8.235081672668457,208.1428571428572,2263.428571428572
301,van,3.0,1.45298969745636,154.5,2047.6666666666667
302,zijn,4.0,12.355792045593262,176.88888888888889,2223.111111111112
303,een,3.0,10.947480201721191,175.2,2292.6
304,schikking,9.0,18.6907901763916,322.0,2064.167
305,die,3.0,8.427071571350098,214.5,1962.5
306,uitgesproken,12.0,20.130126953125,493.6,2066.6330000000003
307,oneerlijk,9.0,24.543533325195312,331.4,2078.2830000000004
308,was,3.0,6.32796573638916,179.0,2236.0
309,ten,3.0,12.581656455993652,219.66666666666663,2112.083333333333
310,opzichte,8.0,7.129055023193359,196.66666666666663,2094.722222222222
311,van,3.0,0.784807562828064,201.4,2206.8
312,zijn,4.0,12.547319412231444,124.0,2159.0
313,twee,4.0,10.931528091430664,246.0,2150.777777777778
314,Maar,4.0,14.64962387084961,235.4,2076.6
315,hun,3.0,15.072378158569336,184.125,1996.25
316,had,3.0,8.452536582946777,170.71428571428572,2197.0
317,er,2.0,9.971837043762209,183.28571428571428,1953.142857142857
318,echt,4.0,11.17280101776123,259.75,1888.20875
319,wel,3.0,8.769639015197754,259.875,1912.625
320,voor,4.0,12.463621139526367,233.5,1926.5
321,dat,3.0,7.817436695098877,161.0,1616.0
322,ze,2.0,6.140262126922607,208.8,2006.2
323,niets,5.0,17.91016960144043,252.7,1951.517
324,tekort,6.0,18.79570960998535,179.75,1916.625
325,zij,3.0,19.938257217407227,162.5,2039.0
326,waren,5.0,10.176795959472656,220.77777777777777,2013.055555555556
327,trouwens,8.0,20.99688148498535,227.5,1936.467
328,nog,3.0,8.335484504699707,289.4,2134.2
329,zo,2.0,6.894121170043945,350.0,1896.0
330,jong,4.0,15.408883094787598,180.875,2026.25
