,word,sentid,sentpos,wlen,surp,entropy,entred
142,had,7,2,3,8.506857872009277,9.631389617919922,0.533172607421875
143,never,7,3,5,9.68197536468506,9.945009231567385,0.0
144,known,7,4,5,7.274399757385254,9.917816162109377,0.0271930694580078
145,him,7,5,3,8.100244522094727,7.799702644348144,2.1181135177612305
146,particularly,7,6,12,14.91052532196045,7.657403945922852,0.1422986984252929
147,<unk>,7,7,5,24.04529571533203,10.552237510681152,0.0
148,He,8,0,2,7.745289802551269,13.10289478302002,0.0
149,was,8,1,3,2.6943106651306152,7.687332630157471,5.415562152862549
150,a,8,2,1,4.044680595397949,10.13864803314209,0.0
151,good,8,3,4,9.520281791687012,12.387380599975586,0.0
152,fifteen,8,4,7,17.249906539916992,11.798624992370604,0.5887556076049805
153,years,8,5,5,7.85638427734375,11.798554420471191,7.05718994140625e-05
154,my,8,6,2,18.30280876159668,5.977522373199463,5.8210320472717285
155,<unk>,8,7,5,25.07319641113281,11.713881492614746,0.0
156,for,8,8,3,5.833743572235107,7.394768238067627,4.319113254547119
157,one,8,9,3,8.46245002746582,9.630352020263672,0.0
158,<unk>,8,10,5,24.66921043395996,10.091290473937988,0.0
159,though,8,11,6,15.372889518737791,8.019102096557617,2.072188377380371
160,he,8,12,2,7.318618297576904,10.959755897521973,0.0
161,hardly,8,13,6,18.097797393798828,7.751353740692139,3.208402156829834
162,looked,8,14,6,16.036245346069336,8.515199661254883,0.0
163,his,8,15,3,6.186583518981934,8.442949295043945,0.0722503662109375
164,<unk>,8,16,5,25.816387176513672,12.155442237854004,0.0
165,<unk>,8,17,5,26.26837921142578,7.798188209533691,4.3572540283203125
166,As,9,0,2,9.578880310058594,13.10289478302002,0.0
167,a,9,1,1,5.711001396179199,11.74891471862793,1.3539800643920898
168,<unk>,9,2,5,25.31117057800293,12.405571937561035,0.0
169,<unk>,9,3,5,24.483983993530277,10.92699909210205,1.4785728454589844
170,I,9,4,1,11.015668869018556,8.652935981750488,2.2740631103515625
171,had,9,5,3,8.377580642700195,9.984628677368164,0.0
172,often,9,6,5,8.885324478149414,9.884963035583496,0.0996656417846679
